manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_capacity,body_type,has_warranty,drivetrain,price_usd,is_exchangeable
Subaru,Outback,automatic,silver,190000,2010,gasoline,False,2.5,universal,False,all,10900.0,False
Subaru,Outback,automatic,blue,290000,2002,gasoline,False,3.0,universal,False,all,5000.0,True
Subaru,Forester,automatic,red,402000,2001,gasoline,False,2.5,suv,False,all,2800.0,True
Subaru,Impreza,mechanical,blue,10000,1999,gasoline,False,3.0,sedan,False,all,9999.0,True
Subaru,Legacy,automatic,black,280000,2001,gasoline,False,2.5,universal,False,all,2134.11,True
Subaru,Outback,automatic,silver,132449,2011,gasoline,False,2.5,universal,False,all,14700.0,True
Subaru,Forester,automatic,black,318280,1998,gasoline,False,2.5,universal,False,all,3000.0,True
Subaru,Legacy,automatic,silver,350000,2004,gasoline,False,2.5,sedan,False,all,4500.0,False
Subaru,Outback,automatic,grey,179000,2010,gasoline,False,2.5,universal,False,all,12900.0,False
Subaru,Forester,automatic,silver,571317,1999,gasoline,False,2.5,universal,False,all,4200.0,True
Subaru,Forester,mechanical,other,280000,2003,gasoline,False,2.0,suv,False,all,6900.0,True
Subaru,Tribeca,automatic,grey,256000,2008,gasoline,False,3.6,suv,False,all,8350.0,True
Subaru,Forester,mechanical,other,321000,2002,gasoline,False,2.0,suv,False,all,4300.0,False
Subaru,Justy,mechanical,red,49999,2001,gasoline,False,1.3,hatchback,False,all,1666.0,False
Subaru,Outback,automatic,brown,154685,2011,gasoline,False,2.5,universal,False,all,8600.0,True
Subaru,Outback,automatic,black,163219,2004,gasoline,False,2.0,universal,False,all,7300.0,True
Subaru,Outback,automatic,other,318650,2005,gasoline,False,3.0,universal,False,all,7587.97,True
Subaru,Impreza,mechanical,blue,191000,2005,gasoline,False,2.0,sedan,False,all,10950.0,False
Subaru,Forester,automatic,silver,179000,2014,gasoline,False,2.0,suv,False,all,12700.0,False
Subaru,Forester,automatic,black,159000,2013,gasoline,False,2.0,suv,False,all,16500.0,False
Subaru,Outback,automatic,white,257495,2008,gasoline,False,2.5,universal,False,all,8700.0,False
Subaru,Tribeca,automatic,silver,241402,2005,gasoline,False,3.0,suv,False,all,7500.0,False
Subaru,Tribeca,automatic,black,188000,2006,gasoline,False,3.0,suv,False,all,8650.0,False
Subaru,Forester,automatic,blue,240000,2001,gasoline,False,2.5,universal,False,all,3500.0,True
Subaru,Legacy,automatic,green,249448,2002,gasoline,False,2.5,universal,False,all,3800.0,True
Subaru,Tribeca,automatic,other,250000,2007,gasoline,False,3.0,suv,False,all,7200.0,True
Subaru,Outback,automatic,green,417000,1997,gasoline,False,2.0,universal,False,front,1850.0,True
Subaru,Outback,automatic,violet,377000,1999,gasoline,False,2.5,universal,False,all,3800.0,False
Subaru,Impreza,mechanical,black,300000,1999,gasoline,False,2.0,universal,False,all,3000.0,False
Subaru,Legacy,mechanical,black,270000,2004,gasoline,False,2.0,sedan,False,all,6200.0,False
Subaru,Forester,mechanical,green,444444,1999,gasoline,False,2.0,universal,False,all,3700.0,False
Subaru,Legacy,automatic,black,299000,1994,gas,True,2.2,universal,False,all,650.0,False
Subaru,Impreza,mechanical,violet,340000,1993,gasoline,False,1.6,universal,False,all,2000.0,True
Subaru,Legacy,mechanical,black,123456,1991,gasoline,False,2.2,sedan,False,all,800.0,False
Subaru,Impreza,mechanical,silver,118000,2011,gasoline,False,2.5,sedan,False,all,14950.0,True
Subaru,Impreza,automatic,black,246113,2008,gasoline,False,1.5,hatchback,False,all,5350.0,False
Subaru,Outback,automatic,green,128748,2016,gasoline,False,3.6,universal,False,all,17059.12,False
Subaru,Legacy,mechanical,red,100000,1994,gasoline,False,2.0,sedan,False,all,1700.0,True
Subaru,Outback,automatic,blue,342790,1999,gasoline,False,2.5,universal,False,all,3500.0,True
Subaru,Forester,mechanical,silver,390000,1997,gasoline,False,2.0,suv,False,all,3000.0,True
Subaru,Forester,automatic,black,215000,2008,gasoline,False,2.5,universal,False,all,8100.0,False
Subaru,Outback,mechanical,grey,288500,2006,gas,True,2.5,universal,False,all,8500.0,False
Subaru,Tribeca,automatic,grey,225000,2005,gas,True,3.0,suv,False,all,7500.0,False
Subaru,Outback,automatic,green,310000,2001,gasoline,False,2.5,liftback,False,all,3300.0,True
Subaru,Forester,automatic,white,121000,2014,gasoline,False,2.0,suv,False,all,14950.0,True
Subaru,Forester,automatic,blue,242000,2003,gasoline,False,2.5,suv,False,all,4490.0,True
Subaru,Outback,mechanical,green,286,1998,gasoline,False,2.5,universal,False,all,2650.0,True
Subaru,Legacy,automatic,grey,209000,2007,gasoline,False,2.0,sedan,False,all,6950.0,False
